episode,timestep,reward
1,2000,811.1065
3,4000,844.3608
5,6000,961.7776
7,8000,814.5881
9,10000,883.9791
11,12000,855.3815
13,14000,841.0125
15,16000,878.0263
17,18000,746.0371
19,20000,749.7201
21,22000,725.7088
23,24000,766.5125
25,26000,752.918
27,28000,798.3975
29,30000,837.4204
31,32000,827.5604
33,34000,868.1608
35,36000,869.7312
37,38000,956.6006
39,40000,771.7626
41,42000,824.947
43,44000,834.5589
45,46000,760.7512
47,48000,869.8746
49,50000,973.1247
51,52000,768.3749
53,54000,778.8773
55,56000,832.7715
57,58000,862.84
59,60000,850.1582
61,62000,868.6221
63,64000,831.8461
65,66000,821.0458
67,68000,791.8997
69,70000,897.1646
71,72000,826.2975
73,74000,803.1106
75,76000,827.4715
77,78000,822.8522
79,80000,954.9679
81,82000,825.716
83,84000,920.3668
85,86000,909.008
87,88000,910.3882
89,90000,888.6856
91,92000,912.671
93,94000,907.8509
95,96000,863.9391
97,98000,897.563
99,100000,936.4094
101,102000,969.0157
103,104000,866.6528
105,106000,921.5669
107,108000,891.6548
109,110000,911.3171
111,112000,828.3076
113,114000,898.8742
115,116000,840.35
117,118000,833.4163
119,120000,868.1071
121,122000,876.2248
123,124000,930.0092
125,126000,850.9102
127,128000,883.1431
129,130000,876.9307
131,132000,871.6945
133,134000,887.9873
135,136000,815.122
137,138000,854.1824
140,140000,766.2519
142,142000,908.5168
144,144000,906.8814
146,146000,810.0116
148,148000,870.633
150,150000,884.3793
152,152000,817.5381
154,154000,886.678
156,156000,965.695
158,158000,902.1301
160,160000,898.6307
162,162000,961.2214
164,164000,833.2976
166,166000,905.8954
168,168000,892.5138
170,170000,820.8386
172,172000,922.0292
174,174000,914.3355
176,176000,881.2359
178,178000,846.6182
180,180000,882.6434
182,182000,936.1496
184,184000,857.0689
186,186000,915.2819
188,188000,831.4382
190,190000,841.5031
192,192000,921.0592
194,194000,883.4465
196,196000,868.7705
198,198000,884.1032
200,200000,835.9271
202,202000,861.7289
204,204000,889.6477
206,206000,864.6576
208,208000,888.0174
210,210000,989.8193
212,212000,881.8968
214,214000,915.471
216,216000,867.3224
218,218000,901.8597
220,220000,876.0435
222,222000,680.3546
224,224000,849.732
226,226000,899.16
228,228000,901.3596
230,230000,854.1157
232,232000,895.8988
234,234000,831.0304
236,236000,837.5489
238,238000,890.7629
240,240000,921.7716
242,242000,868.1009
244,244000,760.954
246,246000,886.009
248,248000,880.6817
250,250000,862.07
252,252000,847.6511
254,254000,899.4306
256,256000,895.9917
258,258000,905.2835
260,260000,905.0486
262,262000,864.424
264,264000,808.8576
266,266000,894.0753
268,268000,885.3558
270,270000,966.5081
272,272000,843.3584
274,274000,861.5302
276,276000,884.6624
278,278000,914.5543
280,280000,910.1907
282,282000,940.5906
284,284000,871.0276
286,286000,970.0551
288,288000,881.4129
290,290000,833.5468
293,292000,570.7003
295,294000,891.6649
297,296000,906.6356
299,298000,897.4867
301,300000,918.921
303,302000,821.1147
305,304000,934.619
307,306000,895.96
309,308000,854.3509
311,310000,876.9961
313,312000,871.0866
315,314000,905.852
317,316000,897.4087
319,318000,833.4454
321,320000,892.6621
324,322000,791.4383
326,324000,888.3001
328,326000,833.597
330,328000,921.8027
332,330000,955.4691
334,332000,950.8943
336,334000,915.3009
338,336000,876.536
340,338000,888.6555
342,340000,915.28
344,342000,794.9046
346,344000,922.8148
348,346000,873.0918
350,348000,915.3747
352,350000,996.6049
354,352000,906.4286
356,354000,904.1952
358,356000,928.6042
360,358000,962.871
362,360000,923.9435
365,362000,763.6435
367,364000,916.2271
369,366000,954.9992
371,368000,937.0599
373,370000,837.8138
375,372000,907.5912
377,374000,907.5929
379,376000,917.206
381,378000,884.175
383,380000,963.3895
385,382000,645.3401
387,384000,1012.9472
389,386000,966.7229
391,388000,997.8591
393,390000,860.272
395,392000,882.6748
397,394000,953.5478
399,396000,972.8364
401,398000,959.8311
405,400000,644.6201
407,402000,993.7299
409,404000,952.3421
411,406000,927.6101
413,408000,985.8626
415,410000,987.2065
417,412000,898.4422
419,414000,867.6517
421,416000,961.3954
423,418000,1000.0195
425,420000,959.1725
427,422000,753.1865
429,424000,926.1565
431,426000,887.5646
433,428000,943.5956
435,430000,950.6076
437,432000,894.2614
439,434000,1021.5249
441,436000,969.5247
443,438000,903.9361
446,440000,698.1884
448,442000,965.1922
450,444000,681.3904
452,446000,930.2393
454,448000,907.1775
456,450000,996.5842
459,452000,691.88
462,454000,529.4519
464,456000,913.2516
466,458000,929.1191
468,460000,928.0338
470,462000,891.6321
473,464000,786.178
476,466000,741.1962
478,468000,635.9266
480,470000,1015.4933
482,472000,830.8072
485,474000,749.3998
487,476000,946.5586
489,478000,924.7205
491,480000,865.4633
493,482000,978.4369
495,484000,872.3495
497,486000,832.4578
499,488000,920.1121
501,490000,837.4933
503,492000,954.8681
505,494000,908.9002
507,496000,938.5552
509,498000,879.9152
511,500000,966.4186
513,502000,918.4401
515,504000,832.6842
517,506000,1037.4317
519,508000,805.5755
522,510000,637.1881
524,512000,1007.055
526,514000,916.331
528,516000,971.6288
530,518000,1023.9095
533,520000,714.0982
535,522000,975.4603
537,524000,955.7428
539,526000,999.4922
541,528000,957.9631
543,530000,1021.9412
545,532000,1011.3391
547,534000,958.8309
549,536000,1006.5871
551,538000,956.1368
553,540000,935.9659
555,542000,957.1891
558,544000,686.8202
560,546000,954.5246
562,548000,1003.0564
564,550000,927.6027
566,552000,1028.684
568,554000,985.5933
570,556000,896.9768
572,558000,990.5016
574,560000,984.5206
576,562000,1048.251
578,564000,1010.3115
580,566000,926.1666
582,568000,1004.5916
584,570000,888.3839
586,572000,882.802
588,574000,957.9011
590,576000,924.1125
592,578000,915.3861
594,580000,969.4969
597,582000,792.7462
599,584000,930.1927
601,586000,867.5698
603,588000,940.906
605,590000,883.342
607,592000,1021.5655
609,594000,973.773
611,596000,970.7349
613,598000,1005.8278
615,600000,813.2884
617,602000,940.5811
620,604000,788.9957
622,606000,998.5323
625,608000,719.8785
627,610000,783.3113
630,612000,856.9703
632,614000,1070.6377
634,616000,1009.1409
636,618000,1003.7192
638,620000,1072.4748
640,622000,989.4772
642,624000,783.6381
645,626000,888.0269
648,628000,602.6935
650,630000,851.465
652,632000,1018.4057
655,634000,713.738
657,636000,1066.2864
659,638000,1081.4545
661,640000,1077.2646
665,642000,594.5455
667,644000,926.1733
669,646000,1067.9872
671,648000,995.9376
674,650000,709.4433
676,652000,903.0554
679,654000,717.3471
681,656000,830.4511
683,658000,1096.8946
686,660000,765.5878
688,662000,999.714
690,664000,1004.7786
692,666000,1038.0148
694,668000,997.6962
696,670000,947.4799
698,672000,983.3696
701,674000,910.969
703,676000,1050.6881
706,678000,526.2314
708,680000,940.4364
710,682000,881.9156
712,684000,949.3821
714,686000,988.2817
716,688000,990.4981
718,690000,857.4545
720,692000,1061.2308
723,694000,817.5004
725,696000,949.325
727,698000,891.4903
729,700000,905.0953
731,702000,695.3036
733,704000,1077.7077
736,706000,860.9632
738,708000,1029.6871
740,710000,1002.1015
742,712000,1017.751
744,714000,899.2399
746,716000,981.0744
748,718000,1079.2458
750,720000,993.7803
753,722000,753.397
755,724000,1004.2727
757,726000,805.5875
759,728000,1017.7989
762,730000,710.5534
764,732000,1016.6822
766,734000,1069.0854
769,736000,834.0298
772,738000,703.0846
774,740000,1013.5404
776,742000,1123.356
778,744000,1092.2354
780,746000,1038.5793
782,748000,962.2531
785,750000,509.0959
787,752000,1081.3993
789,754000,1031.5818
791,756000,1045.0773
793,758000,963.414
796,760000,886.096
798,762000,1101.0786
800,764000,1051.8356
802,766000,1059.3728
805,768000,670.2792
807,770000,1022.0299
809,772000,1089.4682
811,774000,1112.8002
813,776000,896.9057
815,778000,1022.544
817,780000,1095.1734
819,782000,970.147
824,784000,529.0884
826,786000,1058.3576
831,788000,474.5022
833,790000,879.7421
835,792000,923.2937
837,794000,1024.8642
840,796000,902.119
842,798000,1041.6178
844,800000,1073.9245
846,802000,881.4893
848,804000,949.8717
852,806000,648.1551
854,808000,1046.1606
857,810000,853.1393
859,812000,778.3719
862,814000,962.3651
